source_feed,title,summary,published,matched_tickers,fetched_utc
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Stocks Settle Mixed on Strength in Chip Makers and Weakness in Megacap Tech,"The S&amp;P 500 Index ($SPX ) (SPY ) on Friday closed up +0.19%, the Dow Jones Industrials Index ($DOWI ) (DIA ) closed up +0.66%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.17%. March E-mini S&amp;P futures (ESH26 ) rose +0.17%, and March E-mini Nasdaq futures...","Fri, 02 Jan 2026 21:37:59 +0000",DIA,2026-01-04T04:30:33.850928+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,"Top Cryptocurrencies Rise; Bitcoin Tops $89,000 Level","Major digital assets rose on Friday, with Bitcoin (BTC-USD) topping the $89,000 level. The CoinDe","Fri, 02 Jan 2026 21:00:53 +0000",,2026-01-04T04:30:33.851026+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Stocks Give Up Early Gains as Megacap Tech Shares Fall,"The S&amp;P 500 Index ($SPX ) (SPY ) today is down -0.05%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.28%. March E-mini S&amp;P futures (ESH26 ) are down -0.04%, and March E-mini Nasdaq futures...","Fri, 02 Jan 2026 16:29:44 +0000",DIA,2026-01-04T04:30:33.851189+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,This Billionaire Investment Legend is Betting on the QQQ. Is it a Better Bet Than the SPY?,"It isn’t all too often you hear of a billionaire investor betting big on an ETF. Undoubtedly, much of the value in investing alongside the professional money managers comes from their ability to pick individual winners. In any case, whenever a smart investor places a bet on a broad index, I do think investors should ... This Billionaire Investment Legend is Betting on the QQQ. Is it a Better Bet Than the SPY?","Fri, 02 Jan 2026 15:18:47 +0000",,2026-01-04T04:30:33.851576+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Stocks Climb on Strength in Chip Makers and AI-Infrastructure Companies,"The S&amp;P 500 Index ($SPX ) (SPY ) today is up +0.62%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.10%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is up +1.16%. March E-mini S&amp;P futures (ESH26 ) are up +0.59%, and March E-mini Nasdaq futures...","Fri, 02 Jan 2026 15:05:47 +0000",DIA,2026-01-04T04:30:33.851741+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,"Baidu, ASML, furniture stocks rise; Outlook Therapeutics sinks",Investing.com -- U.S. futures are trading higher with Nasdaq 100 Futures futures up as much as 1.1% in pre-market Friday. ASML (NASDAQ:ASML) are up 4.9% after Aletheia Capital double-upgraded the European-listed shares of the chip equipment maker to buy from sell. The brokerage firm cited investment expansion plans and capacity upgrades as key drivers behind its more constructive view. Baidu (NASDAQ:BIDU) surge 12% after the Chinese technology company submitted a proposal to the Hong Kong stock,"Fri, 02 Jan 2026 12:29:57 +0000",ASML,2026-01-04T04:30:33.851984+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,U.S. futures rise as markets kick off new year on upbeat note,"Investing.com -- U.S. stock futures are pointing higher at the start of the new year, setting markets up to snap a four-day losing streak as investors return to themes that powered gains through much of 2025. S&amp;P 500 Futures were up about 0.6% at 6:40 AM ET (11:40 GMT) in New York, while Nasdaq 100 Futures contracts climbed 1.1%. Dow Jones Industrial Average futures added 0.4%. Trading conditions are expected to remain thin, with many investors yet to return from the holiday break and fuller par","Fri, 02 Jan 2026 12:15:44 +0000",,2026-01-04T04:30:33.852253+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,"Stocks Set to Rise With Focus on Silver, Tech and Furniture",Precious metals continued to be volatile as silver prices rose again.  S&amp;P 500 futures were gaining 0.6% and Nasdaq 100 futures were rising 1%.  Tech stocks may be getting a boost from sentiment in China after Baidu's artificial-intelligence chip unit filed for a Hong Kong IPO.,"Fri, 02 Jan 2026 12:05:12 +0000",,2026-01-04T04:30:33.852422+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,2 Nasdaq 100 Stocks with Solid Fundamentals and 1 We Turn Down,"The Nasdaq 100 (^NDX) is known for housing some of the most innovative and fastest-growing companies in the market. But not every stock in the index is a winner - some are struggling with slowing growth, increasing competition, or unsustainable valuations.","Fri, 02 Jan 2026 04:42:01 +0000",,2026-01-04T04:30:33.852575+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,2 Nasdaq 100 Stocks for Long-Term Investors and 1 That Underwhelm,"While the Nasdaq 100 (^NDX) is filled with cutting-edge technology and consumer companies, not all are on solid footing. Some are dealing with declining demand, high costs, or regulatory pressures that could limit future upside.","Fri, 02 Jan 2026 04:36:33 +0000",,2026-01-04T04:30:33.852736+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Stocks Settle Lower on Tech Weakness and Higher Bond Yields,"The S&amp;P 500 Index ($SPX ) (SPY ) on Wednesday closed down -0.74%, the Dow Jones Industrials Index ($DOWI ) (DIA ) closed down -0.63%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed down -0.84%. March E-mini S&amp;P futures (ESH26 ) fell -0.71%, and March E-mini Nasdaq futures...","Wed, 31 Dec 2025 21:34:36 +0000",DIA,2026-01-04T04:30:33.852909+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Stocks Decline as Chip Makers and Data Storage Companies Fall,"The S&amp;P 500 Index ($SPX ) (SPY ) today is down -0.33%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is down -0.35%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.34%. March E-mini S&amp;P futures (ESH26 ) are down -0.35%, and March E-mini Nasdaq futures...","Wed, 31 Dec 2025 16:07:59 +0000",DIA,2026-01-04T04:30:33.853071+00:00
https://feeds.finance.yahoo.com/rss/2.0/headline?s=%5ENDX&region=US&lang=en-US,Nasdaq Drops for Fourth Straight Session,"The Nasdaq Composite could end the year on its longest losing streak since April. The tech-heavy index was down 0.2% on Wednesday. It's on track for a fourth daily decline in a row, which hasn't happened since April 21, according to Dow Jones Market Data.","Wed, 31 Dec 2025 15:02:40 +0000",,2026-01-04T04:30:33.853217+00:00
